promotions,discount,price.1,price.2,price.3,price.4,price.5,price.6,price.7,price.8,price.9,price.10
1,40,4.1,4.5,4.47,4.42,4.56,4.69,4.42,4.17,4.31,4.59
1,30,3.57,3.77,3.9,4.49,4,4.66,4.48,4.64,4.31,4.43
1,20,4.94,4.59,4.58,4.48,4.55,4.53,4.59,4.66,4.73,5.24
1,10,5.19,4.88,4.78,4.89,4.69,4.96,5,4.93,5.1,4.78
3,40,4.07,4.13,4.25,4.23,4.57,4.33,4.17,4.47,4.6,4.02
3,30,4.2,3.94,4.2,3.88,4.35,3.99,4.01,4.22,3.7,4.48
3,20,4.88,4.8,4.46,4.73,3.96,4.42,4.3,4.68,4.45,4.56
3,10,4.9,5.15,4.68,4.98,4.66,4.46,4.7,4.37,4.69,4.97
5,40,3.89,4.18,3.82,4.09,3.94,4.41,4.14,4.15,4.06,3.9
5,30,3.9,3.77,3.86,4.1,4.1,3.81,3.97,3.67,4.05,3.67
5,20,4.11,4.35,4.17,4.11,4.02,4.41,4.48,3.76,4.66,4.44
5,10,4.31,4.36,4.75,4.62,3.74,4.34,4.52,4.37,4.4,4.52
7,40,3.56,3.91,4.05,3.91,4.11,3.61,3.72,3.69,3.79,3.45
7,30,3.45,4.06,3.35,3.67,3.74,3.8,3.9,4.08,3.52,4.03
7,20,3.89,4.45,3.8,4.15,4.41,3.75,3.98,4.07,4.21,4.23
7,10,4.04,4.22,4.89,3.89,4.26,4.41,4.39,4.52,3.87,4.7
