State,primary total,primary women,primary%,primary trained,middle total,middle women,middle%,middle trained,high total,high women,high%,high trained,hs total,hs women,hs%,hs trained,female
 Andhra Pradesh,167059,79355,47.50118222,94,110949,48214,43.45600231,90,156887,63387,40.40296519,96,45800,12316,26.89082969,97,38.69839096
 Arunachal Pradesh,4209,1269,30.14967926,11,4940,1740,35.22267206,20,2349,741,31.54533844,41,2456,556,22.63843648,60,29.5101661
 Assam,89102,31265,35.08899912,64,100129,26129,26.09533702,90,57255,14940,26.09379094,29,17238,5477,31.77282747,29,29.51764691
 Bihar,146893,53000,36.08068458,85,101781,35671,35.0468162,90,28488,4244,14.8975007,98,14234,2218,15.58240832,95,23.27650836
 Chhattisgarh,76525,21394,27.95687684,63,35841,10406,29.03378812,69,10598,3510,33.1194565,73,18912,5889,31.13895939,67,30.24787803
 Goa,3931,3503,89.11218519,92,2365,1725,72.93868922,100,3162,1724,54.52245414,100,1299,694,53.42571209,88,65.96372778
 Gujarat,43480,17074,39.26862925,100,195593,105330,53.85162046,100,32410,7616,23.49892009,100,46235,14058,30.40553693,100,35.05994858
 Haryana,30124,14847,49.28628336,95,18514,8641,46.67278816,93,37564,16969,45.17357044,94,48348,23022,47.61727476,97,47.16389809
 Himachal Pradesh,30733,14057,45.7391078,100,32854,12740,38.77762221,100,5844,1971,33.72689938,100,15535,5311,34.18731896,100,37.81617345
 Jammu & Kashmir,31899,13077,40.99501552,53,50232,21096,41.9971333,61,19358,7633,39.43072631,64,10161,3988,39.2481055,66,40.40183068
 Jharkhand,50537,18563,36.73150365,100,53800,10105,18.78252788,100,9178,2700,29.41817389,100,4057,1822,44.91003204,100,30.89853981
 Karnataka,71877,45998,63.99543665,100,188140,101822,54.12033592,100,92882,40797,43.92347279,100,19320,8147,42.16873706,100,50.32678514
 Kerala,40977,30699,74.91763672,98,45938,32018,69.698289,97,106187,76542,72.08226996,99,31002,22902,73.87265338,100,72.61554225
 Madhya Pradesh,292062,90641,31.03484876,90,142395,30920,21.71424558,91,41052,15936,38.81905875,75,62409,23791,38.12110433,87,31.60102818
 Maharashtra,191813,115576,60.25451872,98,204543,90180,44.08852906,96,166221,52291,31.45872062,98,129062,41037,31.79634594,99,40.37461326
 Manipur,7678,2966,38.62985152,36,8565,3520,41.09748978,35,8725,3515,40.28653295,42,2991,1348,45.06853895,38,41.20433667
 Meghalaya,14034,6477,46.1522018,45,9407,4335,46.08270437,36,4445,1878,42.24971879,36,1155,626,54.1991342,36,46.97714708
 Mizoram,8002,4124,51.53711572,50,6846,2237,32.67601519,62,3935,1143,29.04701398,41,941,420,44.63336876,27,38.4394876
 Nagaland,7956,2961,37.21719457,24,5804,2101,36.19917298,19,6628,2627,39.63488232,25,2394,1201,50.16708438,32,40.45616193
 Orissa,107571,41521,38.59869296,88,41595,12026,28.91212886,91,62727,14771,23.5480734,92,21451,6142,28.63269778,100,29.45218908
 Punjab,36327,22900,63.0385113,99,14070,7398,52.57995736,100,26771,15121,56.4827612,99,36945,21097,57.10380295,100,57.18100476
 Rajasthan,123569,37901,30.67193228,85,199717,60778,30.43206137,80,73007,18213,24.9469229,83,77050,22373,29.03698897,92,28.67545172
 Sikkim,6912,3741,54.12326389,66,2043,1012,49.53499755,43,1529,651,42.57684761,52,883,363,41.10985277,68,46.54294795
 Tamil Nadu,162792,120421,73.97230822,100,68507,41248,60.20990556,100,51452,30559,59.39322087,100,38194,18814,49.25904592,100,60.08139358
 Tripura,7855,1659,21.12030554,73,8476,1763,20.79990562,44,8584,2242,26.11835974,60,9119,3416,37.46024783,59,25.60469027
 Uttar Pradesh,331650,141314,42.60937736,98,87940,24761,28.15669775,95,65914,12455,18.89583397,97,123326,21552,17.47563369,97,25.08831397
 Uttarakhand,48439,26019,53.71498173,100,19983,7279,36.42596207,100,11073,3386,30.57888558,100,24232,6867,28.33856058,100,36.08498059
 West Bengal,152011,43459,28.5893784,83,6360,1748,27.48427673,80,63515,17738,27.92726128,80,78380,25206,32.15871396,86,28.9837124
 A. & N. Islands,1007,617,61.27110228,94,768,455,59.24479167,97,927,492,53.07443366,99,1940,1035,53.35051546,99,56.62164267
 Chandigarh,448,372,83.03571429,96,391,356,91.04859335,96,2900,2388,82.34482759,99,3016,2490,82.5596817,98,84.67118253
 D. & N. Haveli,440,186,42.27272727,93,1041,616,59.17387128,93,371,193,52.02156334,94,101,46,45.54455446,91,49.3403842
 Daman and Diu,495,414,83.63636364,95,231,155,67.0995671,96,274,131,47.81021898,100,60,19,31.66666667,96,53.98952244
 Delhi,23326,17093,73.27874475,100,8812,7240,82.16068997,100,9773,6428,65.77304819,100,59348,41782,70.40169846,100,72.6638327
 Lakshadweep,203,83,40.88669951,100,161,65,40.37267081,100,137,49,35.76642336,100,273,83,30.4029304,100,36.60286865
 Puducherry,3143,2485,79.06458797,98,1384,865,62.5,97,2936,1849,62.97683924,97,3950,2403,60.83544304,98,65.96292284
